Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000118515;;Outlier;ENSG00000118515;ENSG00000118515;;SGK|6446|SGK1|RP1-188K17.1;SGK;SGK1;112344;6446
ENSG00000105173;;Outlier;ENSG00000105173;ENSG00000105173;ENSG00000105173;CCNE1|898|CCNE;CCNE1;CCNE1;107338;898
ENSG00000108953;;Outlier;ENSG00000108953;ENSG00000108953;ENSG00000108953;YWHAE|HEL2|MDCR|7531|14-3-3E|MDS|KCIP-1;YWHAE;YWHAE;113363;7531
ENSG00000142208;;Outlier;ENSG00000142208;ENSG00000142208;;PRKBA|RAC|PKB|CWS6|207|AKT1|AKT|RAC-ALPHA|PKB-ALPHA;PRKBA;AKT1;106710;207
ENSG00000117676;;Outlier;ENSG00000117676;ENSG00000117676;;HU-1|RSK1|MAPKAPK1A|RP11-492M19.2|RPS6KA1|p90Rsk|RSK|6195;HU-1;RPS6KA1;112109;6195
ENSG00000164924;;Outlier;ENSG00000164924;ENSG00000164924;;14-3-3-zeta|YWHAD|HEL4|7534|HEL-S-3|YWHAZ|KCIP-1;YWHAD;YWHAZ;113366;7534
ENSG00000177885;;Outlier;ENSG00000177885;ENSG00000177885;;NCKAP2|MST084|2885|ASH|Grb3-3|GRB2|MSTP084|EGFRBP-GRB2;NCKAP2;GRB2;109142;2885
ENSG00000132646;;Outlier;ENSG00000132646;ENSG00000132646;ENSG00000132646;PCNA|5111|ATLD2;PCNA;PCNA;111142;5111
ENSG00000151876;;Outlier;ENSG00000151876;ENSG00000151876;ENSG00000151876;26272|FBXO4|FBX4;FBXO4;FBXO4;117656;26272
ENSG00000082701;;Outlier;ENSG00000082701;ENSG00000082701;ENSG00000082701;2932|GSK3B;GSK3B;GSK3B;109187;2932
ENSG00000139687;;Outlier;ENSG00000139687;ENSG00000139687;ENSG00000139687;RB1|OSRC|RB|PPP1R130|pRb|p105-Rb|RP11-174I10.1|pp110|5925;RB1;RB1;111860;5925
ENSG00000124762;;Outlier;ENSG00000124762;ENSG00000124762;ENSG00000124762;CDKN1A|1026|CIP1|p21CIP1|CDKN1|WAF1|CAP20|P21|MDA-6|SDI1;CDKN1A;CDKN1A;107460;1026
ENSG00000170312;;Outlier;ENSG00000170312;ENSG00000170312;;983|P34CDC2|CDK1|CDC28A|CDC2;P34CDC2;CDK1;107420;983
ENSG00000133703;;"Cluster;Outlier";ENSG00000133703;ENSG00000133703;;KI-RAS|NS|RASK2|CFC2|K-RAS2B|K-RAS2A|K-RAS4B|NS3|K-RAS4A|KRAS|C-K-RAS|3845|KRAS2|KRAS1;KI-RAS;KRAS;110043;3845
ENSG00000171720;;Outlier;ENSG00000171720;ENSG00000171720;ENSG00000171720;HDAC3|HD3|RPD3-2|8841|RPD3;HDAC3;HDAC3;114368;8841
ENSG00000174775;;"Outlier;Overlap";ENSG00000174775;ENSG00000174775;;C-H-RAS|HAMSV|p21ras|3265|C-BAS/HAS|HRAS1|CTLO|H-RASIDX|HRAS|C-HA-RAS1|RASH1;C-H-RAS;HRAS;109501;3265
ENSG00000164885;;Outlier;ENSG00000164885;ENSG00000164885;ENSG00000164885;CDK5|1020|PSSALRE;CDK5;CDK5;107455;1020
ENSG00000114166;;Outlier;ENSG00000114166;ENSG00000114166;ENSG00000114166;8850|KAT2B|P/CAF|CAF|PCAF;KAT2B;KAT2B;114375;8850
ENSG00000134057;;Outlier;ENSG00000134057;ENSG00000134057;ENSG00000134057;891|CCNB1|CCNB;CCNB1;CCNB1;107332;891
ENSG00000166946;;Outlier;ENSG00000166946;ENSG00000166946;;GCIP|23582|DIP1|CCNDBP1|HHM;GCIP;CCNDBP1;117117;23582
ENSG00000150991;;Outlier;ENSG00000150991;ENSG00000150991;ENSG00000150991;UBC|7316|HMG20;UBC;UBC;113164;7316
ENSG00000168610;;Outlier;ENSG00000168610;ENSG00000168610;;ADMIO|6774|STAT3|APRF|HIES;ADMIO;STAT3;112651;6774
ENSG00000105810;;Outlier;ENSG00000105810;ENSG00000105810;ENSG00000105810;CDK6|PLSTIRE|MCPH12|1021;CDK6;CDK6;107456;1021
ENSG00000115966;;Outlier;ENSG00000115966;ENSG00000115966;;CREB2|ATF2|1386|CREB-2|TREB7|CRE-BP1|HB16;CREB2;ATF2;107776;1386
ENSG00000004897;;Outlier;ENSG00000004897;ENSG00000004897;;CDC27Hs|APC3|NUC2|HNUC|996|D0S1430E|CDC27|ANAPC3|H-NUC|D17S978E;CDC27Hs;CDC27;107431;996
ENSG00000166508;;Outlier;ENSG00000166508;ENSG00000166508;;P1.1-MCM3|4176|MCM7|P1CDC47|CDC47|PNAS146|P85MCM|PPP1R104|MCM2;P1.1-MCM3;MCM7;110344;4176
ENSG00000039068;;Outlier;ENSG00000039068;ENSG00000039068;;LCAM|CDHE|ECAD|CDH1|999|CD324|Arc-1|UVO;LCAM;CDH1;107434;999
ENSG00000066044;;Outlier;ENSG00000066044;ENSG00000066044;;1994|HUR|Hua|MelG|ELAV1|ELAVL1;HUR;ELAVL1;108309;1994
ENSG00000148737;;"Cluster;Outlier";ENSG00000148737;ENSG00000148737;;RP11-357H24.1|TCF7L2|TCF-4|TCF4|6934;RP11-357H24.1;TCF7L2;112795;6934
ENSG00000169083;;Outlier;ENSG00000169083;ENSG00000169083;;DHTR|HYSP1|SBMA|AIS|AR|NR3C4|367|SMAX1|RP11-383C12.1|KD|TFM|HUMARA;DHTR;AR;106862;367
ENSG00000103479;;Outlier;ENSG00000103479;ENSG00000103479;ENSG00000103479;RBL2|Rb2|P130|5934;RBL2;RBL2;111869;5934
ENSG00000100902;;Outlier;ENSG00000100902;ENSG00000100902;ENSG00000100902;PSMA6|IOTA|p27K|PROS27|5687;PSMA6;PSMA6;111660;5687
ENSG00000005339;;Outlier;ENSG00000005339;ENSG00000005339;;CBP|CREBBP|KAT3A|1387|RSTS;CBP;CREBBP;107777;1387
ENSG00000173039;;"Cluster;Outlier";ENSG00000173039;ENSG00000173039;;5970|NFKB3|RELA|p65;NFKB3;RELA;111902;5970
ENSG00000173404;;Outlier;ENSG00000173404;ENSG00000173404;;IA1|3642|INSM1|IA-1;IA1;INSM1;109853;3642
ENSG00000124151;;Outlier;ENSG00000124151;ENSG00000124151;;RP5-1049G16.3|8202|NCOA3|TNRC14|AIB-1|AIB1|SRC3|pCIP|CTG26|CAGH16|bHLHe42|KAT13B|TRAM-1|TNRC16|RAC3|SRC-3|ACTR;RP5-1049G16.3;NCOA3;113841;8202
ENSG00000103264;;Outlier;ENSG00000103264;ENSG00000103264;;Fbx31|MRT45|FBX14|FBXO14|79791|PP2386|FBXO31;Fbx31;FBXO31;122890;79791
ENSG00000129757;;Outlier;ENSG00000129757;ENSG00000129757;ENSG00000129757;CDKN1C|1028|KIP2|p57|p57Kip2|WBS|BWCR|BWS;CDKN1C;CDKN1C;107462;1028
ENSG00000162992;;Outlier;ENSG00000162992;ENSG00000162992;ENSG00000162992;NEUROD1|BETA2|bHLHa3|4760|BHF-1|NEUROD|MODY6;NEUROD1;NEUROD1;110833;4760
ENSG00000058091;;Outlier;ENSG00000058091;ENSG00000058091;;PFTAIRE1|5218|PFTK1|CDK14;PFTAIRE1;CDK14;111239;5218
ENSG00000055130;;Outlier;ENSG00000055130;ENSG00000055130;ENSG00000055130;8454|CUL1;CUL1;CUL1;114032;8454
ENSG00000012048;;Outlier;ENSG00000012048;ENSG00000012048;;RNF53|672|IRIS|BRCAI|PNCA4|PSCP|BROVCA1|BRCC1|FANCS|PPP1R53|BRCA1;RNF53;BRCA1;107140;672
ENSG00000123374;;"Cluster;Outlier";ENSG00000123374;ENSG00000123374;;p33|1017|CDK2|CDKN2;p33;CDK2;107452;1017
ENSG00000133101;;Outlier;ENSG00000133101;ENSG00000133101;ENSG00000133101;CCNA1|CT146|8900;CCNA1;CCNA1;114417;8900
ENSG00000100393;;Outlier;ENSG00000100393;ENSG00000100393;;p300|KAT3B|RSTS2|2033|EP300|RP1-85F18.1;p300;EP300;108347;2033
ENSG00000082898;;Outlier;ENSG00000082898;ENSG00000082898;ENSG00000082898;XPO1|7514|emb|exp1|CRM1;XPO1;XPO1;113348;7514
ENSG00000135446;;Outlier;ENSG00000135446;ENSG00000135446;ENSG00000135446;1019|CDK4|PSK-J3|CMM3;CDK4;CDK4;107454;1019
ENSG00000147133;;Outlier;ENSG00000147133;ENSG00000147133;;BA2R|6872|TAFII250|XDP|N-TAF1|CCGS|DYT3|CCG1|DYT3/TAF1|KAT4|NSCL2|TAF2A|OF|P250|TAF|TAFII-250|TAF1;BA2R;TAF1;112735;6872
ENSG00000116478;;Outlier;ENSG00000116478;ENSG00000116478;;GON-10|HD1|HDAC1|RPD3L1|3065|RPD3|RP4-811H24.2;GON-10;HDAC1;109315;3065
ENSG00000205250;;Outlier;ENSG00000205250;ENSG00000205250;;1874|E2F-4|E2F4;E2F-4;E2F4;108206;1874
ENSG00000168036;;Outlier;ENSG00000168036;ENSG00000168036;;1499|MRD19|CTNNB|armadillo|OK/SW-cl.35|CTNNB1;MRD19;CTNNB1;107880;1499
ENSG00000113558;;Outlier;ENSG00000113558;ENSG00000113558;;TCEB1L|OCP2|EMC19|OCP-II|6500|p19A|SKP1A|SKP1;TCEB1L;SKP1;112391;6500
ENSG00000197122;;Outlier;ENSG00000197122;ENSG00000197122;;RP5-823N20.1|c-SRC|ASV|SRC|p60-Src|SRC1|6714;RP5-823N20.1;SRC;112592;6714
ENSG00000109971;;Outlier;ENSG00000109971;ENSG00000109971;ENSG00000109971;HSPA8|HSP71|NIP71|HEL-S-72p|HSPA10|HSC54|HSC70|HSC71|HEL-33|LAP-1|LAP1|3312|HSP73;HSPA8;HSPA8;109544;3312
ENSG00000085117;;Outlier;ENSG00000085117;ENSG00000085117;;R2|TSPAN27|C33|CD82|ST6|4F9|SAR2|3732|IA4|KAI1|GR15;R2;CD82;109935;3732
ENSG00000120156;;"Cluster;Outlier";ENSG00000120156;ENSG00000120156;;7010|TIE-2|CD202B|TIE2|VMCM|TEK|VMCM1;TIE-2;TEK;112869;7010
ENSG00000133895;;"Cluster;Outlier";ENSG00000133895;ENSG00000133895;;MEAI|4221|SCG2|MEN1;MEAI;MEN1;110384;4221
ENSG00000109320;;"Cluster;Outlier";ENSG00000109320;ENSG00000109320;;NF-kappa-B|KBF1|4790|NFKB-p105|NF-kappaB|p50|NFKB1|NFKB-p50|NF-kB1|p105|EBP-1|NFkappaB;NF-kappa-B;NFKB1;110857;4790
ENSG00000077684;;"Cluster;Outlier";ENSG00000077684;ENSG00000077684;ENSG00000077684;79960|JADE1|PHF17;JADE1;JADE1;123029;79960
ENSG00000182866;;"Cluster;Outlier";ENSG00000182866;ENSG00000182866;;RP4-675E8.4|p56lck|LCK|LSK|IMD22|YT16|3932|pp58lck;RP4-675E8.4;LCK;110124;3932
ENSG00000115085;;Outlier;ENSG00000115085;ENSG00000115085;;ZAP-70|ZAP70|STD|STCD|TZK|7535|SRK;ZAP-70;ZAP70;113367;7535
ENSG00000105971;;Outlier;ENSG00000105971;ENSG00000105971;ENSG00000105971;CAV2|CAV|858;CAV2;CAV2;107306;858
ENSG00000105647;;Outlier;ENSG00000105647;ENSG00000105647;;P85B|5296|MPPH1|PIK3R2|p85-BETA|p85|MPPH;P85B;PIK3R2;111314;5296
ENSG00000105401;;Outlier;ENSG00000105401;ENSG00000105401;ENSG00000105401;11140|CDC37|P50CDC37;CDC37;CDC37;116312;11140
ENSG00000076641;;"Cluster;Outlier";ENSG00000076641;ENSG00000076641;;CBP|PAG|55824|PAG1;CBP;PAG1;120931;55824
ENSG00000103653;;Outlier;ENSG00000103653;ENSG00000103653;ENSG00000103653;1445|CSK;CSK;CSK;107832;1445
ENSG00000103266;;Outlier;ENSG00000103266;ENSG00000103266;;HSPABP2|CHIP|10273|UBOX1|NY-CO-7|SCAR16|LA16c-313D11.6|STUB1|SDCCAG7;HSPABP2;STUB1;115563;10273
ENSG00000103197;;Outlier;ENSG00000103197;ENSG00000103197;;PPP1R160|TSC4|7249|TSC2|LAM;PPP1R160;TSC2;113100;7249
ENSG00000100485;;Outlier;ENSG00000100485;ENSG00000100485;ENSG00000100485;6655|SOS2;SOS2;SOS2;112538;6655
ENSG00000168395;;"Cluster;Outlier";ENSG00000168395;ENSG00000168395;ENSG00000168395;ING5|84289|p28ING5;ING5;ING5;124016;84289
ENSG00000100425;;"Cluster;Outlier";ENSG00000100425;ENSG00000100425;ENSG00000100425;BRD1|BRPF1|BRPF2|23774|RP3-522J7.4|BRL;BRD1;BRD1;117273;23774
ENSG00000100387;;Outlier;ENSG00000100387;ENSG00000100387;;RNF75|RP11-554C12.1|BA554C12.1|9978|ROC1|RBX1;RNF75;RBX1;115301;9978
ENSG00000100030;;Outlier;ENSG00000100030;ENSG00000100030;;PRKM1|5594|PRKM2|p41mapk|ERT1|p41|p40|P42MAPK|ERK-2|ERK2|p38|p42-MAPK|MAPK2|MAPK1|ERK;PRKM1;MAPK1;111580;5594
ENSG00000113594;;Outlier;ENSG00000113594;ENSG00000113594;;SJS2|CD118|LIFR|STWS|3977|SWS|LIF-R;SJS2;LIFR;110165;3977
ENSG00000099985;;Outlier;ENSG00000099985;ENSG00000099985;ENSG00000099985;OSM|5008;OSM;OSM;111049;5008
ENSG00000111276;;Outlier;ENSG00000111276;ENSG00000111276;;CDKN4|1027|CDKN1B|MEN1B|MEN4|P27KIP1|KIP1;CDKN4;CDKN1B;107461;1027
ENSG00000099804;;Outlier;ENSG00000099804;ENSG00000099804;;E2-CDC34|CDC34|997|UBE2R1|UBC3|UBCH3;E2-CDC34;CDC34;107432;997
ENSG00000119699;;Outlier;ENSG00000119699;ENSG00000119699;;7043|ARVD|TGF-beta3|TGFB3|ARVD1|RNHF;ARVD;TGFB3;112901;7043
ENSG00000110092;;Outlier;ENSG00000110092;ENSG00000110092;;595|PRAD1|CCND1|D11S287E|BCL1|U21B31;PRAD1;CCND1;107067;595
ENSG00000091831;;Outlier;ENSG00000091831;ENSG00000091831;;ESR|ESTRR|Era|2099|RP1-130E4.1|ESR1|ER|ESRA|NR3A1;ESR;ESR1;108403;2099
ENSG00000141736;;Outlier;ENSG00000141736;ENSG00000141736;;CD340|MLN 19|TKR1|NGL|ERBB2|HER-2/neu|2064|HER2|HER-2|NEU;CD340;ERBB2;108376;2064
ENSG00000132470;;Outlier;ENSG00000132470;ENSG00000132470;ENSG00000132470;3691|ITGB4|CD104;ITGB4;ITGB4;109897;3691
ENSG00000112576;;Outlier;ENSG00000112576;ENSG00000112576;ENSG00000112576;CCND3|896|RP5-973N23.3;CCND3;CCND3;107336;896
ENSG00000146648;;Outlier;ENSG00000146648;ENSG00000146648;;PIG61|ERBB1|mENA|ERBB|HER1|NISBD2|1956|EGFR;PIG61;EGFR;108276;1956
ENSG00000178568;;"Cluster;Outlier";ENSG00000178568;ENSG00000178568;ENSG00000178568;ERBB4|ALS19|2066|p180erbB4|HER4;ERBB4;ERBB4;108378;2066
ENSG00000011465;;Outlier;ENSG00000011465;ENSG00000011465;;1634|PGII|PGS2|PG40|DSPG2|SLRR1B|DCN|CSCD;PGII;DCN;108002;1634
ENSG00000004468;;"Cluster;Outlier";ENSG00000004468;ENSG00000004468;;T10|ADPRC 1|952|CD38;T10;CD38;107390;952
ENSG00000113070;;"Cluster;Outlier";ENSG00000113070;ENSG00000113070;;DTS|DTR|DTSF|HEGFL|1839|HBEGF;DTS;HBEGF;108172;1839
